bench_id,bench_name,scheduling_pool,sequence,order_number,material,material_description,customer,is_australia,priority,scheduled_start,scheduled_finish,target_finish_day_offset,bench_remaining_minutes,sap_remaining_minutes,adjusted_remaining_minutes,staffing_factor,staffing_override_people,planned_start_minute,planned_finish_minute,planned_start_time,planned_finish_time,planned_finish_day_offset,due_status,due_delta_days,due_message,bench_work_centres,bench_operations,system_status,user_status,override_type,override_note,assignment_source,assignment_source_label,assignment_reason,queue_stability,schedule_confidence,confidence_reason,live_active,live_started_at,live_started_remaining_minutes,live_elapsed_minutes,live_sap_refresh_at
CM06,CSKI/MVKI Bench 6,CSKI_MVKI,4,200234084560,EN3046-000,CSJA-24E/1XU-1XU-DE01,Westnetz GmbH,no,5,30.07.2026,30.07.2026,1,287,287,287,1.0000,,920,1207,Thu 30/07 16:05,Fri 31/07 12:12,2,LATE,1,Late by 1 working day,CSKI-1,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM RESA*,COMP PREP,,,OPTIMISED,Optimised,"No evaluated option fully recovered the order; this bench produced the strongest overall result. The next-best bench, CM03, would create more due-date risk.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
CM06,CSKI/MVKI Bench 6,CSKI_MVKI,5,200233571993,CR0671-000,CSJT-12B/3XU-3XU-GB01,SP Power Systems Ltd,no,5,30.07.2026,31.07.2026,2,198,198,198,1.0000,,1207,1405,Fri 31/07 12:12,Mon 03/08 10:15,3,LATE,1,Late by 1 working day,CSKI-1,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM SETC,COMP PREP,,,OPTIMISED,Optimised,"No evaluated option fully recovered the order; this bench produced the strongest overall result. The next-best bench, CM04, would finish later.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
CM06,CSKI/MVKI Bench 6,CSKI_MVKI,6,200233622307,CS4189-000,SMOE-64149,SP Power Systems Ltd,no,5,30.07.2026,31.07.2026,2,155,155,155,1.0000,,1405,1560,Mon 03/08 10:15,Mon 03/08 13:35,3,LATE,1,Late by 1 working day,CSKI-1,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*,COMP PREP,,,OPTIMISED,Optimised,"No evaluated option fully recovered the order; this bench produced the strongest overall result. The next-best bench, CM04, would finish later.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
LV01,LVPA Bench 1,LVPA,1,200234610263,CM0111-000,BAH-028000535,TE Connectivity Argentina SRL,no,5,27.07.2026,27.07.2026,-2,4,4,4,1.0000,,275,279,13:15,13:19,0,LATE,2,Late by 2 working days,LVPA-5,0050,REL  PRT  PRC  BASC BCRQ GMPS MACM RESA*,COMP PREP,AUTO LOCK,Preserved from previous schedule to stabilise the near-term queue,STABLE,Stable Queue,LINEUP preserved this order on LV01 because it was the next automatic order in the previous plan.,STABLE NEXT,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
LV01,LVPA Bench 1,LVPA,2,200234419562,EN2004-000,TSJ-WA180,TE Connectivity Australia Pty Ltd,yes,5,30.07.2026,30.07.2026,1,532,532,532,1.0000,,279,811,13:19,Thu 30/07 14:16,1,ON TARGET,0,Finishes on scheduled working day,LVPA-5,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM RESA*,COMP PREP,,,OPTIMISED,Optimised,"This bench gives an on-time predicted finish. The next-best bench, LV02, would finish later.",FLEXIBLE,MEDIUM,"The current automatic plan is on target, but later automatic queue positions may still be re-optimised.",,,,,
LV01,LVPA Bench 1,LVPA,3,200234423009,EB9985-000,BAH-038080994,SSE Stock Ltd,no,5,30.07.2026,30.07.2026,1,362,362,362,1.0000,,811,1173,Thu 30/07 14:16,Fri 31/07 11:38,2,LATE,1,Late by 1 working day,LVPA-5,0010,REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*,COMP PREP,,,OPTIMISED,Optimised,"No evaluated option fully recovered the order; this bench produced the strongest overall result. The next-best bench, LV02, would finish later.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
LV01,LVPA Bench 1,LVPA,4,200234519512,ED0004-000,BAH-038081012,SSE Stock Ltd,no,5,30.07.2026,30.07.2026,1,117,117,117,1.0000,,1173,1290,Fri 31/07 11:38,Mon 03/08 08:10,3,LATE,2,Late by 2 working days,LVPA-5,0010 → 0030,REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*,COMP PREP,,,OPTIMISED,Optimised,"The order remains late, but this bench produced the strongest overall result among compatible benches. The next-best bench, LV02, would finish later.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
LV01,LVPA Bench 1,LVPA,5,200234527057,ED0006-000,BAH-038081014,SSE Stock Ltd,no,5,30.07.2026,30.07.2026,1,26,26,26,1.0000,,1290,1316,Mon 03/08 08:10,Mon 03/08 08:36,3,LATE,2,Late by 2 working days,LVPA-5,0010 → 0030,REL  PRT  PRC  BASC BCRQ GMPS MACM MSCP*,COMP PREP,,,OPTIMISED,Optimised,"The order remains late, but this bench produced the strongest overall result among compatible benches. The next-best bench, LV02, would finish later.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
LV01,LVPA Bench 1,LVPA,6,200233920353,EE7521-000,BAH-038081398,SP Power Systems Ltd,no,5,29.07.2026,30.07.2026,1,383,383,383,1.0000,,1316,1699,Mon 03/08 08:36,Mon 03/08 15:54,3,LATE,2,Late by 2 working days,LVPA-5,0010 → 0030,REL  PRT  PRC  BASC BCRQ MACM MSCP SETC,PREP,,,OPTIMISED,Optimised,"The order remains late, but this bench produced the strongest overall result among compatible benches. The next-best bench, LV02, would create more due-date risk.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
LV01,LVPA Bench 1,LVPA,7,200234423248,EB9973-000,BAH-038080982,Cable Services Ltd,no,5,31.07.2026,31.07.2026,2,41,41,41,1.0000,,1699,1740,Mon 03/08 15:54,Mon 03/08 16:35,3,LATE,1,Late by 1 working day,LVPA-2 / LVPA-5,0010 → 0020,REL  PRT  PRC  BASC BCRQ MACM MSCP SETC,PREP,,,OPTIMISED,Optimised,"No evaluated option fully recovered the order; this bench produced the strongest overall result. The next-best bench, LV02, would create more due-date risk.",FLEXIBLE,ATTENTION,The predicted finish is later than the SAP scheduled finish day.,,,,,
